Saliency Map,GradCam,GradCam Cutted,GradCam++
0.9769169960474308,0.9769169960474308,0.9769169960474308,0.9769169960474308
0.974782608695652,0.9263854763854764,0.9224390243902438,0.9064114832535886
0.9730434782608696,0.8853016653016653,0.8784065040650406,0.8518881118881119
0.9641106719367588,0.8450232050232052,0.8368780487804878,0.8001177769598823
0.8937767479896416,0.8022795522795524,0.7917398373983741,0.7579389032020609
0.7632002180727818,0.767998907998908,0.7547317073170732,0.7061685682738315
0.6472182090772794,0.7371853671853671,0.7209430894308944,0.6609201324990798
0.5491672345645361,0.7091209391209392,0.6908943089430893,0.6289657710710341
0.466452228431239,0.6874883974883975,0.6683577235772357,0.6008170776591829
0.3990295761210305,0.6630275730275731,0.6420813008130081,0.566175929333824
0.34930625596292764,0.6330248430248432,0.6103414634146341,0.5415899889584099
