Unnamed: 0,Perspective,Test accuracy
0,-1,0.9764426877470356
1,67,0.3217527599836445
2,-51,0.8716151015401391
3,20,0.9716996047430831
4,-46,0.8830557448548452
5,-43,0.90288946435873
6,34,0.9507509881422924
7,-90,0.030671936758893282
8,50,0.8635000681477443
9,36,0.9466403162055336
10,56,0.7870437508518467
11,-24,0.9687747035573122
12,-85,0.005454545454545455
13,-47,0.8784925718958703
14,21,0.9713833992094862
15,-81,0.019683794466403164
16,63,0.512263868065967
17,-3,0.9760474308300398
18,76,0.03960474308300395
19,89,0.00956521739130435
20,62,0.562475126073327
21,-80,0.02268774703557312
22,-83,0.013043478260869566
23,-26,0.9636363636363636
24,57,0.762221616464495
25,46,0.8908518468038709
26,-9,0.975810276679842
27,26,0.9670355731225296
28,-72,0.11715415019762845
29,43,0.9033992094861659
30,-8,0.9766798418972332
31,-50,0.8824233337876516
32,65,0.3996320021807278
33,-44,0.8963281995365954
34,15,0.9734387351778656
35,-63,0.6476516287310891
36,28,0.9656126482213441
37,23,0.9710671936758892
38,-58,0.7933406024260599
39,18,0.9724901185770752
40,-42,0.9073953932124846
41,-31,0.9551778656126482
42,42,0.9077470355731226
43,69,0.2148616600790514
44,47,0.8845277361319341
45,44,0.8984189723320157
46,48,0.8589150879105902
47,-60,0.7621016764345101
48,-76,0.043557312252964435
49,33,0.9572332015810276
50,-84,0.013201581027667985
51,-54,0.8451765026577619
52,39,0.9387351778656128
53,-21,0.9727272727272728
54,-52,0.8613820362546001
55,82,0.023083003952569167
56,10,0.9743873517786562
57,-38,0.9299822815864796
58,17,0.973201581027668
59,-77,0.04173913043478261
60,-39,0.9225732588251327
61,-61,0.7328172277497615
62,-18,0.9742292490118578
63,54,0.8257135068829221
64,-29,0.9597628458498024
65,-10,0.9759683794466404
66,-65,0.5455472263868066
67,61,0.6360419790104949
68,8,0.9754940711462452
69,24,0.9711462450592884
70,64,0.4679460269865066
71,45,0.8944091590568353
72,-2,0.9762055335968379
73,-33,0.9451383399209484
74,-68,0.3681422924901186
75,38,0.9413438735177866
76,-75,0.05478260869565217
77,-86,0.0061660079051383395
78,-79,0.02687747035573123
79,-70,0.2223715415019763
80,-22,0.9719367588932808
81,2,0.9764426877470356
82,40,0.9285375494071144
83,81,0.02339920948616601
84,1,0.9763636363636364
85,-71,0.17889328063241108
86,-36,0.9363854436418154
87,-62,0.6950170369360773
88,-88,0.026561264822134386
89,-59,0.7823960746899278
90,71,0.14735177865612648
91,32,0.9626877470355732
92,-13,0.975415019762846
93,68,0.2549407114624506
94,-89,0.028774703557312258
95,-35,0.9394684475943847
96,75,0.05225296442687747
97,-66,0.4755295079732861
98,83,0.021739130434782608
99,58,0.7208068692926266
100,78,0.02632411067193676
101,-45,0.8891781382036255
102,70,0.18205533596837947
103,-28,0.9609486166007906
104,-69,0.2656126482213439
105,-41,0.9102412430148562
106,60,0.6706446776611694
107,35,0.9492490118577076
108,-67,0.4293853073463269
109,-27,0.9621343873517788
110,-32,0.9499604743083004
111,6,0.9761264822134388
112,-57,0.8118958702466949
113,30,0.9643478260869568
114,84,0.017312252964426875
115,-64,0.6046340466130571
116,51,0.8603380128117759
117,80,0.02632411067193676
118,59,0.6927436281859071
119,-15,0.97501976284585
120,-49,0.8808641133978465
121,-17,0.9745454545454548
122,53,0.8363854436418153
123,-53,0.8499768297669348
124,-6,0.9759683794466404
125,37,0.9449011857707509
126,41,0.9128853754940712
127,-19,0.9737549407114624
128,52,0.8491127163690882
129,-20,0.9732806324110672
130,25,0.9692490118577076
131,-78,0.031462450592885376
132,-37,0.9336186452228432
133,11,0.974703557312253
134,-30,0.9572332015810276
135,86,0.015652173913043483
136,-11,0.9756521739130436
137,29,0.9648221343873518
138,14,0.9738339920948618
139,4,0.9762845849802372
140,-73,0.08229249011857707
141,9,0.9736758893280631
142,7,0.9762055335968379
143,49,0.8593893962109855
144,-16,0.9750197628458498
145,87,0.011304347826086959
146,74,0.07652173913043478
147,27,0.9657707509881424
148,-23,0.9706719367588934
149,-7,0.9763636363636364
150,77,0.032332015810276685
151,55,0.7961346599427559
152,73,0.09296442687747036
153,-5,0.9759683794466404
154,-14,0.9751778656126484
155,19,0.9719367588932808
156,13,0.9744664031620556
157,16,0.973201581027668
158,85,0.015335968379446641
159,5,0.9764426877470356
160,12,0.9742292490118576
161,-25,0.9655335968379448
162,-48,0.87946299577484
163,22,0.9714624505928854
164,3,0.9762845849802372
165,88,0.008616600790513834
166,31,0.9637154150197628
167,79,0.02806324110671936
168,-4,0.975810276679842
169,66,0.3592013084366908
170,0,0.9763636363636364
171,-34,0.9419980918631592
172,-74,0.06719367588932806
173,-87,0.007430830039525692
174,72,0.11043478260869566
175,-56,0.824781245740766
176,-12,0.9755731225296445
177,-40,0.9146108763799918
178,-55,0.8366961973558674
179,-82,0.017391304347826087
